PokerStars Tournament #2573013629, No Limit Hold'em
Buy-In: 87000/13000
382 players
Total Prize Pool: 25594000 
Tournament started 2019/04/02 14:50:00 ET

  1: 5alexys69 (Romania), still playing
  2: 74charlie (Spain), still playing
  3: 888tams (Ukraine), still playing
  4: AK1Uln (Russia), still playing
  5: AKIMYCH777 (Ukraine), still playing
  6: ANTONIO797 (Italy), still playing
  7: ARNU1 (United States), still playing
  8: Adila202 (Netherlands), still playing
  9: Aleksssss998 (Russia), still playing
  10: ArgosB (Germany), still playing
  11: BOWBENDER789 (United States), still playing
  12: Bad-Cop-1968 (Germany), still playing
  13: BeSa1969 (Germany), still playing
  14: Bichinho 69 (Brazil), still playing
  15: BobFrs (United States), still playing
  16: Bradders350 (United Kingdom), still playing
  17: BurtonHalkett35 (Canada), still playing
  18: Bushueva (Russia), still playing
  19: CARZACK (Italy), still playing
  20: CJStyles92 (United States), still playing
  21: ChrissyM52 (United States), still playing
  22: ComptonVl (Russia), still playing
  23: DanielOsor55 (Belgium), still playing
  24: Dansseny (Spain), still playing
  25: Dauerpluss (Argentina), still playing
  26: ENTONY1973 (Italy), still playing
  27: Espan78 (Russia), still playing
  28: FATS711 (United States), still playing
  29: FORRIBLE (United States), still playing
  30: FRUFRU 76 (Czech Republic), still playing
  31: Filipe Domingos (Brazil), still playing
  32: Fortress (United States), still playing
  33: Froncko (Slovakia), still playing
  34: GOLFIN36 (United States), still playing
  35: Gerald4321 (Austria), still playing
  36: GraafGGG (Netherlands), still playing
  37: Grancer (United States), still playing
  38: Gregor2018 (Germany), still playing
  39: Guy7L (Canada), still playing
  40: HOUBA 27807 (Czech Republic), still playing
  41: HSG 1711 (Germany), still playing
  42: IftachNiv1818 (Israel), still playing
  43: Jakhals999 (Netherlands), still playing
  44: Janes7173 (Netherlands), still playing
  45: Jimmy Logik 89 (Slovakia), still playing
  46: Jirzi.ko (Czech Republic), still playing
  47: KATA031973 (Germany), still playing
  48: LDC2 (United States), still playing
  49: LLLL876 (Russia), still playing
  50: LenJos (Canada), still playing
  51: LoconChico (Argentina), still playing
  52: MHST (Austria), still playing
  53: MT270262 (Costa Rica), still playing
  54: Manynya777 (Russia), still playing
  55: Markguth3 (United States), still playing
  56: Mikroha (Russia), still playing
  57: Mt cristo 60 (Germany), still playing
  58: NMEH (France), still playing
  59: NWO777 (Canada), still playing
  60: Nikiss11 (United Kingdom), still playing
  61: Pablo Zappa (Argentina), still playing
  62: Pav.Hepkema (Netherlands), still playing
  63: Peki1000 (Germany), still playing
  64: Petrichaur (United States), still playing
  65: Pillastro1 (United Kingdom), still playing
  66: PittsburghJoker (United States), still playing
  67: Planet Kanet (Canada), still playing
  68: Potso (Canada), still playing
  69: PrajanuDorin (Romania), still playing
  70: PrudentPoker (United States), still playing
  71: Przemek8209 (Poland), still playing
  72: Radrob70 (Hungary), still playing
  73: SOISUNMARIAN (Romania), still playing
  74: SPORTMORT (United States), still playing
  75: Savonac511 (Spain), still playing
  76: Seky87BMW (), still playing
  77: Serzh 83 1965 (Russia), still playing
  78: Sharik1 (Germany), still playing
  79: Simka46 (Russia), still playing
  80: Slinkythepim (Germany), still playing
  81: Solomon704 (Russia), still playing
  82: StudyingPoker (United States), still playing
  83: Suncoat (Germany), still playing
  84: TVomv (Russia), still playing
  85: Tcharle27 (Brazil), still playing
  86: Thiuma175 (Brazil), still playing
  87: VSmuñoz (Spain), still playing
  88: WOLFMAN20114 (United States), still playing
  89: YaDadSC (United States), still playing
  90: Yapshi (Israel), still playing
  91: YoYoMan415 (Germany), still playing
  92: Zasa Joey (United States), still playing
  93: antonio1961 (Italy), still playing
  94: arre1111 (Argentina), still playing
  95: audit1943 (Canada), still playing
  96: balcer333 (Poland), still playing
  97: behoward1 (United States), still playing
  98: benrdzsiq (Mexico), still playing
  99: blzrd88 (United States), still playing
  100: bojsu (Germany), still playing
  101: buddyandreno (United States), still playing
  102: calimarco (France), still playing
  103: craneium001 (United States), still playing
  104: cudar99 (Hungary), still playing
  105: davidc64 (Canada), still playing
  106: davidmooca (Brazil), still playing
  107: demen75 (Romania), still playing
  108: dodgersfan17 (Canada), still playing
  109: dregon8 (Hungary), still playing
  110: el_sonrie (Mexico), still playing
  111: evilroyca (Canada), still playing
  112: fransyl (Canada), still playing
  113: frkaliju (Austria), still playing
  114: fumino60 (Italy), still playing
  115: galexi1969 (Russia), still playing
  116: gerard0007 (France), still playing
  117: girofranco (Italy), still playing
  118: glebnikitin2 (Russia), still playing
  119: gm2001msn (United States), still playing
  120: gmslim (United States), still playing
  121: grumig (Czech Republic), still playing
  122: handicapp803 (United States), still playing
  123: honisett2002 (United Kingdom), still playing
  124: inferno-696 (Russia), still playing
  125: infollable (Spain), still playing
  126: inzo02 (France), still playing
  127: jambaa143 (Mongolia), still playing
  128: jattas (Italy), still playing
  129: jerome7624 (France), still playing
  130: jeziita3 (Spain), still playing
  131: jikan923 (Spain), still playing
  132: jjsimons (United States), still playing
  133: jonah1535591 (Germany), still playing
  134: kairat850 (Kazakhstan), still playing
  135: karakaro (Armenia), still playing
  136: karrsignug24 (United States), still playing
  137: kinghi 44447 (United States), still playing
  138: kirk196 (Canada), still playing
  139: kmot981 (United States), still playing
  140: kolarcheto (Bulgaria), still playing
  141: kounak73 (Czech Republic), still playing
  142: leomes554 (Switzerland), still playing
  143: limbdoctor (United States), still playing
  144: liptaka (United States), still playing
  145: litzl 71 (Italy), still playing
  146: loser1234508 (Canada), still playing
  147: luipress (Italy), still playing
  148: maa4764 (Brazil), still playing
  149: mamamarii (Russia), still playing
  150: mari hari (United States), still playing
  151: medafising009 (Czech Republic), still playing
  152: melissza70 (Hungary), still playing
  153: merenguemix (Spain), still playing
  154: mguaks123 (Mexico), still playing
  155: misotinita (Greece), still playing
  156: mk.mk80 (Latvia), still playing
  157: mmiandy (United States), still playing
  158: mrmcdonald2 (United States), still playing
  159: muxamedov (Ukraine), still playing
  160: nas1926 (Italy), still playing
  161: natali526 (Russia), still playing
  162: novalis77 (Switzerland), still playing
  163: nutzy6699 (Canada), still playing
  164: nyroon21 (Netherlands), still playing
  165: onhego (Canada), still playing
  166: petro019 (Argentina), still playing
  167: pokerlady2006 (Ireland), still playing
  168: portorotta (Italy), still playing
  169: ramoz65 (United Kingdom), still playing
  170: riley4180 (Canada), still playing
  171: roareriksen1 (Norway), still playing
  172: robertmaxi (Brazil), still playing
  173: roi7 (Israel), still playing
  174: scubagene666 (Canada), still playing
  175: sepultura511 (Germany), still playing
  176: sergiomc53 (United States), still playing
  177: silupescu (Italy), still playing
  178: silva47 (Germany), still playing
  179: sirwex (Israel), still playing
  180: smnsmn458 (Russia), still playing
  181: srutek1968 (Poland), still playing
  182: stam6945 (Greece), still playing
  183: steelered47 (United States), still playing
  184: stormbraker123 (United Kingdom), still playing
  185: tata7771 (Ukraine), still playing
  186: team belb (Poland), still playing
  187: theold1 (United States), still playing
  188: tonypairola (Italy), still playing
  189: tonytown11 (United States), still playing
  190: tünderlala (Germany), still playing
  191: va4eko (Bulgaria), still playing
  192: voula 76 (Greece), still playing
  193: vrv75 (Romania), still playing
  194: vtodorov (Bulgaria), still playing
  195: wicomo (United States), still playing
  196: wlucio (Brazil), still playing
  197: wwert69 (Canada), still playing
  198: xXSHARKXx24 (United States), still playing
  199: xtxt14 (Poland), still playing
  200: xyi18mm (Russia), still playing
  201: yud555 (Israel), still playing
  202: zahar423 (Russia), still playing
  203: zazyie33 (France), still playing
  204: zorzgas (Italy), still playing
  205: zio7777 (United States), 
  206: Samuel1409 (Austria), 
  207: barryjanis (United States), 
  208: NF34 (Portugal), 
  209: Emo Phillips (Canada), 
  210: •{Lousyla}• (Switzerland), 
  211: taras1607 (Russia), 
  212: Ardeleanionut95 (Romania), 
  213: Plamen1969 (Bulgaria), 
  214: rycho222 (Poland), 
  215: Toza87 (France), 
  216: dagoberto57 (Italy), 
  217: Mathieu353 (France), 
  218: JPJ333 (Canada), 
  219: Papso 46 (Slovakia), 
  220: chalotrix (Chile), 
  221: rch1959 (United States), 
  222: edinkas (Argentina), 
  223: dette63 (Germany), 
  224: mamcar09 (Poland), 
  225: getrobouguy (United States), 
  226: MauMau27971 (Italy), 
  227: Mich Laruse (Belgium), 
  228: melkiy11 (Russia), 
  229: Paulo AX 296 (Brazil), 
  230: trelly318 (United Kingdom), 
  231: Usain0007 (Germany), 
  232: cushingo (Argentina), 
  233: Naulasaur (United Kingdom), 
  234: dunne917 (Canada), 
  235: dfczdfcz22 (Russia), 
  236: Tô Chegando (Brazil), 
  237: hubmal76 (Poland), 
  238: sharp145 (United States), 
  239: drstrange111 (United States), 
  240: binus2014 (Belgium), 
  241: Gavagava53 (Belarus), 
  242: bladderstone (United Kingdom), 
  243: Schulz1971 (Russia), 
  244: AACURIÓ (Brazil), 
  245: covello10 (Italy), 
  246: szinti94 (Canada), 
  247: JyravlevAndr (Russia), 
  248: Mr.Price333 (Serbia), 
  249: StevieDD (United States), 
  250: kunyakow (Russia), 
  251: BrettF04 (United States), 
  252: dartdoggg (United States), 
  253: polkerpal (United States), 
  254: PYFOU777 (France), 
  255: Payamps III (United States), 
  256: Jari021 (Czech Republic), 
  257: zuraw667 (Poland), 
  258: WilliamP69 (United Kingdom), 
  259: D-dub-TC (United States), 
  260: tunquen2 (Chile), 
  261: Ruslan Mih19 (Russia), 
  262: danitoa (Colombia), 
  263: 73dusha73 (Russia), 
  264: manute123 (Spain), 
  265: redmer44 (Poland), 
  266: NICOLAY1212 (Russia), 
  267: thor75707 (Germany), 
  268: robilucy (Italy), 
  269: yvapache (Canada), 
  270: h8m.joker (Ukraine), 
  271: Eule7456 (Germany), 
  272: fruutluup13 (United States), 
  273: 777roger52 (Canada), 
  274: zolotoyvova2008 (Ukraine), 
  275: WilliAc111 (Germany), 
  276: schtopa (United States), 
  277: JackN1mble (Canada), 
  278: jaguar4648 (Germany), 
  279: pollo pupito (Argentina), 
  280: Malomaro (Spain), 
  281: hardtimes1440 (United States), 
  282: PolacoKR (Argentina), 
  283: goracydelfin86 (Poland), 
  284: alterhelmi (Austria), 
  285: pulpe95 (France), 
  286: leinaj131 (Brazil), 
  287: fast fred (United States), 
  288: salamanda (United States), 
  289: vincenzino12 (Italy), 
  290: smartyjoe (United States), 
  291: Georg-Anton (Germany), 
  292: rezaka936 (Russia), 
  293: WifIy (Germany), 
  294: Kostia1_12_132 (Russia), 
  295: Miz Cara (Canada), 
  296: garethman (United Kingdom), 
  297: clove65 (United States), 
  298: StanleyChiu226 (Taiwan), 
  299: sunisgrey (United Kingdom), 
  300: cucaracha556 (United States), 
  301: MANSUR 661 (Belarus), 
  302: Mixxed1up (Ireland), 
  303: laksevåg10 (Norway), 
  304: Vere1010 (Brazil), 
  305: nourson35 (France), 
  306: Loudal5577 (Czech Republic), 
  307: grisandd (Russia), 
